CouchBase;Memcached;Mongo;Orient;Redis;Riak;;CouchBase;Memcached;Mongo;Orient;Redis;Riak
490;30;5830;1290;50;24980;;;;;;;
550;10;4120;2140;90;27500;;;;;;;
490;30;3320;1840;200;25500;;;;;;;
490;30;2830;1390;70;25790;;;;;;;
700;40;2690;1540;30;26070;;;;;;;
550;40;2080;1530;80;27490;;;;;;;
310;10;3080;1850;70;26340;;;;;;;
600;0;3010;1260;0;25660;;;;;;;
510;20;2600;1170;20;27120;;;;;;;
430;10;2320;1540;60;27010;;;;;;;
470;0;3090;1710;20;25410;;;;;;;
670;10;3740;1600;0;25870;;;;;;;
390;0;2000;1470;20;23800;;;;;;;
690;30;1640;1530;0;28950;;;;;;;
380;40;3560;1360;40;26040;;;;;;;
500;0;2830;1610;50;23590;;;;;;;
480;10;2200;1590;60;26190;;;;;;;
520;20;2300;1530;20;25230;;;;;;;
610;30;2530;1420;40;23320;;;;;;;
730;20;3250;1610;20;25080;;;;;;;
660;50;1210;1310;120;28110;;;;;;;
